,AAPL,BTC-USD,CL=F,ETH-USD,GC=F,JPM,MSFT,QQQ,TSLA,^GSPC
2019-05-03 00:00:00+00:00,50.834999084472656,5768.28955078125,61.939998626708984,167.95240783691406,1279.199951171875,98.9951400756836,122.25765991210938,184.46051025390625,17.00200080871582,2945.639892578125
2019-05-04 00:00:00+00:00,,5831.16748046875,,164.02658081054688,,,,,,
2019-05-05 00:00:00+00:00,,5795.70849609375,,163.45069885253906,,,,,,
2019-05-06 00:00:00+00:00,50.04996109008789,5746.80712890625,62.25,172.65321350097656,1281.699951171875,98.1170425415039,121.54629516601562,183.33119201660156,17.022666931152344,2932.469970703125
2019-05-07 00:00:00+00:00,48.70077133178711,5829.50146484375,61.400001525878906,169.7986602783203,1283.5,96.51428985595703,119.05182647705078,179.75990295410156,16.470666885375977,2884.050048828125
2019-05-08 00:00:00+00:00,48.71036911010742,5982.45751953125,62.119998931884766,170.9481658935547,1279.4000244140625,96.00279235839844,119.0423355102539,179.30628967285156,16.32266616821289,2879.419921875
2019-05-09 00:00:00+00:00,48.18701934814453,6174.52880859375,61.70000076293945,170.289306640625,1283.5,95.92605590820312,119.03285217285156,178.34104919433594,16.131999969482422,2870.719970703125
2019-05-10 00:00:00+00:00,47.51947021484375,6378.84912109375,61.65999984741211,173.1427459716797,1285.699951171875,95.91753387451172,120.578857421875,178.56309509277344,15.968000411987305,2881.39990234375
2019-05-11 00:00:00+00:00,,7204.771484375,,194.30433654785156,,,,,,
2019-05-12 00:00:00+00:00,,6972.37158203125,,187.3253173828125,,,,,,
2019-05-13 00:00:00+00:00,44.75765609741211,7814.9150390625,61.040000915527344,196.84628295898438,1300.0999755859375,93.30882263183594,116.99362182617188,172.36647033691406,15.133999824523926,2811.8701171875
2019-05-14 00:00:00+00:00,45.466182708740234,7994.416015625,61.779998779296875,217.14857482910156,1294.699951171875,94.05050659179688,118.30254364013672,174.25823974609375,15.487333297729492,2834.409912109375
2019-05-15 00:00:00+00:00,46.010833740234375,8205.16796875,62.02000045776367,247.15306091308594,1296.300048828125,93.69244384765625,119.96851348876953,176.7195281982422,15.463333129882812,2850.9599609375
2019-05-16 00:00:00+00:00,45.80840301513672,7884.9091796875,62.869998931884766,264.010009765625,1285.0,94.89450073242188,122.73876190185547,178.4954833984375,15.222000122070312,2876.320068359375
2019-05-17 00:00:00+00:00,45.548126220703125,7343.8955078125,62.7599983215332,243.76458740234375,1274.5,94.43412780761719,121.92005157470703,176.67129516601562,14.0686674118042,2859.530029296875
2019-05-18 00:00:00+00:00,,7271.2080078125,,234.59523010253906,,,,,,
2019-05-19 00:00:00+00:00,,8197.689453125,,261.2922058105469,,,,,,
